com.moonsworth.lunar.client.cosmetics.holograms	Holograms	com.moonsworth.lunar.client.cosmetics.holograms	EmoteMorphAnimator	Facade over MorphTracker + EmoteAnimator: update(EmoteController, entity) / render(entity, matrix, bone, partialTick) / isActive; no supertype and zero source refs (legacy emote+morph model driver)
com.moonsworth.lunar.client.cosmetics.inactive.mixin.holograms	Holograms	com.moonsworth.lunar.client.cosmetics.inactive.mixin.holograms	MolangResourceModel	GeckoLib model extending Holograms2Iterator; implements mixin.holograms.Holograms; three MolangResourceProvider textures (primary, secondary, third defaults to lunar:animations/empty_anim.json), getModelName()=primary; cast target in AnimationControllerDefinition.method2
com.moonsworth.lunar.client.cosmetics.inactive.mixin.holograms.mixin	Holograms	com.moonsworth.lunar.client.cosmetics.inactive.mixin.holograms.mixin	ModelTextureProvider	Interface Horsestats14 method1(E, Evaluator): resolves the model texture/resource for an animatable given the molang evaluator; implemented by Holograms2Iterator + MolangResourceModel
com.moonsworth.lunar.client.driver.core.holograms	Holograms	com.moonsworth.lunar.client.driver.core.holograms	HologramModelBridge	@CallbackJS bridge for hologram models: addModel/updateModel/removeModel/setHighlightingEnabled/forceHighlightCosmetic/selectCosmetic/playEmote/stopEmote/setHoveredModel; owned by HologramRenderer.method14()
com.moonsworth.lunar.client.driver.core.holograms.mixin	Holograms	com.moonsworth.lunar.client.driver.core.holograms.mixin	HologramEntry	JSON model entry @SerializedName id/name/type/metadata; elements of EmoteHologram "cosmetics" array (method22), looked up by id()
com.moonsworth.lunar.client.driver.holograms	Holograms	com.moonsworth.lunar.client.driver.holograms	CosmeticHighlightRenderer	Offscreen framebuffer + "Lunar Cosmetic Highlight" depth shader compositor for the selected cosmetic model; tracks hovered/selected HoverModel and sends model:hover/model:select; owned by HologramRenderer.method13()
com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms.holograms	Holograms	com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms.holograms	DungeonRoom	@KeepName room definition loaded from dungeon/rooms.json: hashes/ids/communityName/blcName/blcRotOffset/roofHeight/secretCount/secrets/MapRoomType/RoomShape; referenced by Module, Route* subcommands, RoomInstance
com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms.mixin	Holograms	com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms.mixin	KuudraPearlWaypoint	Kuudra "pearl" entry parsed by JsonDeserializerIterator from pos/waypoints/second arrays; KuudraWaypoints maps pearl name -> this; SkyblockKuudraWaypoints draws the pearl trajectory from method2/method3
com.moonsworth.lunar.client.framework.feature.mod.holograms	Holograms	com.moonsworth.lunar.client.framework.feature.mod.holograms	EntityChangeListener	Package-private entity add/remove/update + clear sink implemented by ParentTHandler/ParentTImpl/ClassFilteredEntityQuery/IterableEntityTracker
com.moonsworth.lunar.client.framework.feature.mod.holograms.mixin	Holograms	com.moonsworth.lunar.client.framework.feature.mod.holograms.mixin	BurrowTrailPredictor	Collects trail particle points and fits a bezier curve to predict the burrow block (field5 Vector3i + timestamp); used by BurrowTrailLocator.method5/method3
com.moonsworth.lunar.client.replay.holograms	Holograms	com.moonsworth.lunar.client.replay.holograms	TimelineElementRegistry	Registers replay-editor timeline element factories by type ("camera","speed","cameraShake","cameraFov","sounds","decode","text","image","audio","packs","shader","chromaKeying","worldRendering","uiRendering","entityOverrides") plus mod-provided elements; sibling of SegmentRegistry/TrackRegistry
com.moonsworth.lunar.client.replay.rewindhandlers.holograms	Holograms	com.moonsworth.lunar.client.replay.rewindhandlers.holograms	PlaybackStateProvider	GuiIterator feeding the rewind editor playhead/paused/dragging/ruleOfThirds/quarters/previewMode/rendering/quickView/panelX/panelY/progress properties
com.moonsworth.lunar.client.cosmetics.holograms	HologramsType	com.moonsworth.lunar.client.cosmetics.holograms	MorphRenderType	PARTICLE/BLOCK tag returned by MorphRenderer.method11(); Nameplate buckets morph renderers by it to order the two passes
com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms	HologramsType	com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms	BettermapVariant	PRIMARY/SECONDARY/SPIRIT_LEAP with optionPrefix ("primary"/"secondary"/"spiritLeap"); selects the BettermapSettings option prefix and per-HUD defaults (BettermapPrimary/Secondary, SpiritLeapOverlay)
com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms.holograms	HologramsType	com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms.holograms	DetectedRoomShape	Runtime room-shape result of Holograms4Iterator.method12 (1x1..2x2/L/1x3/1x4) plus display labels Trap/Puzzle/General/???; used by RoomDetectionAction to detect single-cell rooms; distinct from rooms.json RoomShape
