package	old	new	evidence	file
com.moonsworth.lunar.client.highlight.fishing	HighlightImpl2	EventAttack	fired at HEAD of Minecraft.clickMouse() with this.objectMouseOver (MinecraftMixin2:266); Killsounds.method5 reads method1()=MovingObjectPositionBridge and registers a MELEE kill when it hits an entity with hurtTime==0; only consumer is the kill-sounds stack
com.moonsworth.lunar.client.highlight.fishing	HighlightImpl3	EventEntityHealthUpdate	fired on EntityLivingBase.setHealth (EntityLivingBaseEventMixin:56/70/87) with (entity, oldHealth, newHealth); GuiRewindhandlers6.method3 diffs method2()/method3() into damage/heal stats
com.moonsworth.lunar.client.highlight.fishing	HighlightImpl4	EventEnchantmentCriticalHit	fired at HEAD of EntityPlayerSP.onEnchantmentCritical(Entity) (EntityPlayerSPEventMixin:89, EntityPlayerSPMixin:42), cancellable; the onCriticalHit sibling is HighlightImpl8
com.moonsworth.lunar.client.highlight.fishing	HighlightImpl5	EventEyeHeight	fired from EntityRenderer.orientCamera (EntityRendererMixin2:482) with (eyeHeight, 0.08F); Onesevenvisuals.method3 and the 1.7-animation mods read getEyeHeight()/method1(float) to drive the sneak eye-height animation
com.moonsworth.lunar.client.highlight.fishing	HighlightImpl6	EventLocalPlayerDeath	empty event fired in EntityPlayerSP.onLivingUpdate when this.isDead and the UUID is the local player (EntityPlayerSPEventMixin:99, EntityPlayerSPMixin:52); TotemCounter.method8 clears the totem map and Waypoints.method3 places a "playerDeath" waypoint
com.moonsworth.lunar.client.highlight.fishing	HighlightImpl7	EventEntityCollisionBoxes	fired at RETURN of World.getCollisionBoxes/getCollidingBoundingBoxes (WorldEventMixin:173/181) with (entity, AABB, List<AABB>); ServerBorders.method4 appends border boxes to method3() so vanilla collision sees them
com.moonsworth.lunar.client.highlight.fishing	HighlightImpl8	EventCriticalHit	fired at HEAD of EntityPlayerSP.onCriticalHit(Entity) (EntityPlayerSPEventMixin:81, EntityPlayerSPMixin:34), cancellable; the enchantment variant is HighlightImpl4
com.moonsworth.lunar.client.highlight.fishing	HighlightImpl9	EventPreRenderPlayer	fired at HEAD of RenderPlayer.doRender (RenderPlayerEventMixin:47) via static factory method1(player,x,y,z,partialTicks) in TEST then MONITOR stages; RewindHandlers3Updater.method5 cancels it for the spectated self
com.moonsworth.lunar.client.highlight.fishing	HighlightImpl10	EventPlayerReceiveDamage	fired from EntityLivingBase.handleHealthUpdate/handleStatusUpdate after attackEntityFrom (EntityLivingBaseEventMixin:141) with (player, DamageSourceBridge); GuiRewindhandlers6.method7 counts hits, GuiRewindhandlersHandler29.method4 stores the source
com.moonsworth.lunar.client.highlight.fishing	HighlightImpl11	EventEntityStatus	fired at TAIL of NetHandlerPlayClient.handleEntityStatus with (entity, S19PacketEntityStatus.logicOpcode) (NetHandlerPlayClientMixin:169); Shields/Combo/ReachDisplay read method2() for status codes 2 (hurt), 29/30 (shield block/break)
com.moonsworth.lunar.client.highlight.fishing	HighlightImpl12	EventEntityRemove	fired at TAIL of World.removeEntity for any non-player, non-projectile entity (WorldEventMixin:270); HologramEntityListener/StarredMobHighlight/SkyblockVampireSlayer drop the entity from their tracking sets
